Firm,Salary,Reports,weight,Average salary,Rating
GLENCORE,13728811.0,150.0,1.0000000000000027,105184.16666666664,3.9
HALMA,1455184.0,30.0,0.9999999999999999,50785.06666666669,4.4
HARGREAVES LANSDOWN,7426341.0,410.0,1.0000000000000007,31739.831707317047,3.6
HIKMA PHARMACEUTICALS,2555000.0,50.0,1.0000000000000004,51100.0,4.6
HSBC,11768120.0,3388.0,1.0000000000000016,58854.298996458056,4.0
IMPERIAL BRANDS,8709562.0,182.0,0.9999999999999978,59845.13736263736,3.3
INFORMA,10896083.0,526.0,0.9999999999999966,48328.212927756664,3.5
INTERCONTINENTAL HOTELS GROUP,8335286.0,356.0,0.9999999999999953,46434.00000000005,3.8
INTERMEDIATE CAPITAL GROUP,8402256.0,98.0,1.0000000000000009,90956.81632653064,3.8
INTERTEK GROUP,470000.0,10.0,0.9999999999999999,47000.0,0.0
ITV,9414870.0,380.0,1.0000000000000018,45459.039473684206,4.1
International Airlines Group,5875049.0,90.0,0.9999999999999983,79084.96666666666,3.3
JD SPORTS FASHION,3206142.0,552.0,1.0000000000000013,23091.001811594215,2.9
KINGFISHER,11407858.0,265.0,0.9999999999999999,56143.792452830196,3.8
LAND SECURITIES GROUP,8476018.0,183.0,1.0000000000000009,52878.78688524593,3.6
LEGAL & GENERAL GROUP,10673662.0,461.0,0.9999999999999971,49639.40347071586,4.0
LLOYDS BANKING GROUP,9834476.0,3493.0,1.0000000000000009,48018.26624677925,3.9
LONDON STOCK EXCHANGE GROUP,16115256.0,355.0,0.999999999999999,75831.41971830983,3.4
M&G,14551301.0,428.0,1.0000000000000016,68845.31542056074,3.7
MEGGITT,8659251.0,207.0,1.0000000000000027,52968.32850241551,3.8
MONDI,4035000.0,100.0,1.0000000000000007,43000.0,2.9
NATIONAL GRID,10654149.0,505.0,1.0000000000000007,51906.60594059408,4.0
NATWEST GROUP,11186135.0,2750.0,0.9999999999999996,54829.83781818184,3.7
NEXT,3574858.0,2938.0,1.0000000000000004,19578.051395507162,3.6
OCADO GROUP,6469390.0,1471.0,0.9999999999999949,27554.33446634941,3.6
PEARSON,9216210.0,707.0,1.0000000000000022,40847.13719943425,3.8
PERSIMMON,4891288.0,238.0,0.9999999999999982,40971.85714285715,3.6
PHOENIX GROUP HOLDINGS,9123989.0,219.0,0.999999999999994,54349.47031963469,3.5
PRUDENTIAL,9958500.0,112.0,0.9999999999999988,88915.1785714285,4.4
RECKITT BENCKISER GROUP,13033238.0,471.0,0.9999999999999999,63281.388535031874,3.5
RELX,8180752.0,146.0,1.0000000000000027,68774.20547945205,3.8
RENTOKIL INITIAL,6900706.0,763.0,1.0000000000000038,29946.93577981654,4.2
RIGHTMOVE ,4870016.0,271.0,0.9999999999999967,47525.71586715867,4.2
RIO TINTO,9149850.0,176.0,1.000000000000004,74580.95454545459,4.4
ROLLS-ROYCE HOLDINGS,9149700.0,1553.0,1.0000000000000013,43551.34513844171,3.9
ROYAL DUTCH SHELL,13170031.0,761.0,1.000000000000001,64324.20499342968,3.8
ROYAL MAIL,6786187.0,2487.0,0.999999999999997,29259.706473663085,3.6
SAGE GROUP,515000.0,10.0,0.9999999999999999,51500.0,4.0
SAINSBURY(J),4899501.0,6775.0,1.0000000000000007,22080.637343173425,3.6
SCHRODERS,15102151.0,415.0,0.9999999999999968,71924.86265060246,4.1
SEGRO,11465000.0,180.0,0.9999999999999974,63694.444444444394,4.5
SEVERN TRENT,8361703.0,356.0,0.9999999999999936,39815.460674157286,4.3
SMITH & NEPHEW,9931629.0,244.0,0.9999999999999941,56123.06967213113,3.9
SMITH (DS),7774904.0,208.0,0.999999999999998,46649.95192307693,3.4
SMITHS GROUP,11998331.0,159.0,0.9999999999999999,76732.66037735848,3.4
SMURFIT KAPPA GROUP,4232193.0,112.0,0.9999999999999987,44722.32142857146,4.2
SPIRAX-SARCO ENGINEERING,7751050.0,152.0,0.9999999999999979,55672.03947368414,4.4
SSE,9002389.0,838.0,1.0000000000000056,40260.28042959428,3.8
ST.JAMES'S PLACE,8132348.0,350.0,1.0000000000000053,38700.44857142857,3.9
STANDARD CHARTERED,17952252.0,450.0,1.000000000000003,93293.87999999999,3.8
TAYLOR WIMPEY,9706945.0,447.0,1.0000000000000033,44376.31319910516,4.3
TESCO,4999500.0,14548.0,1.0,21910.577330217235,3.8
UNILEVER,10187843.0,1280.0,0.9999999999999993,49949.32265625,4.1
UNITED UTILITIES GROUP,8688463.0,264.0,0.9999999999999993,43959.53409090913,4.5
VODAFONE GROUP,10656750.0,2457.0,0.9999999999999991,48791.24135124135,3.9
WHITBREAD,7759269.0,668.0,0.9999999999999969,33944.08233532935,4.0
WPP,14006085.0,246.0,0.9999999999999968,69080.02032520325,3.6
